paths,labels
dataset/Pond/pond_127.jpg,7
dataset/Pond/pond_133.jpg,7
dataset/Pond/pond_319.jpg,7
dataset/Pond/pond_325.jpg,7
dataset/Pond/pond_331.jpg,7
dataset/Pond/pond_279.jpg,7
dataset/Pond/pond_251.jpg,7
dataset/Pond/pond_245.jpg,7
dataset/Pond/pond_24.jpg,7
dataset/Pond/pond_30.jpg,7
dataset/Pond/pond_18.jpg,7
dataset/Pond/pond_292.jpg,7
dataset/Pond/pond_286.jpg,7
dataset/Pond/pond_5.jpg,7
dataset/Pond/pond_4.jpg,7
dataset/Pond/pond_287.jpg,7
dataset/Pond/pond_19.jpg,7
dataset/Pond/pond_293.jpg,7
dataset/Pond/pond_31.jpg,7
dataset/Pond/pond_25.jpg,7
dataset/Pond/pond_244.jpg,7
dataset/Pond/pond_250.jpg,7
dataset/Pond/pond_278.jpg,7
dataset/Pond/pond_330.jpg,7
dataset/Pond/pond_324.jpg,7
dataset/Pond/pond_318.jpg,7
dataset/Pond/pond_132.jpg,7
dataset/Pond/pond_126.jpg,7
dataset/Pond/pond_118.jpg,7
dataset/Pond/pond_130.jpg,7
dataset/Pond/pond_124.jpg,7
dataset/Pond/pond_332.jpg,7
dataset/Pond/pond_326.jpg,7
dataset/Pond/pond_246.jpg,7
dataset/Pond/pond_252.jpg,7
dataset/Pond/pond_33.jpg,7
dataset/Pond/pond_27.jpg,7
dataset/Pond/pond_285.jpg,7
dataset/Pond/pond_291.jpg,7
dataset/Pond/pond_6.jpg,7
dataset/Pond/pond_7.jpg,7
dataset/Pond/pond_290.jpg,7
dataset/Pond/pond_284.jpg,7
dataset/Pond/pond_26.jpg,7
dataset/Pond/pond_32.jpg,7
dataset/Pond/pond_253.jpg,7
dataset/Pond/pond_247.jpg,7
dataset/Pond/pond_327.jpg,7
dataset/Pond/pond_333.jpg,7
dataset/Pond/pond_125.jpg,7
dataset/Pond/pond_131.jpg,7
dataset/Pond/pond_119.jpg,7
dataset/Pond/pond_135.jpg,7
dataset/Pond/pond_121.jpg,7
dataset/Pond/pond_109.jpg,7
dataset/Pond/pond_337.jpg,7
dataset/Pond/pond_323.jpg,7
dataset/Pond/pond_243.jpg,7
dataset/Pond/pond_257.jpg,7
dataset/Pond/pond_280.jpg,7
dataset/Pond/pond_294.jpg,7
dataset/Pond/pond_36.jpg,7
dataset/Pond/pond_22.jpg,7
dataset/Pond/pond_3.jpg,7
dataset/Pond/pond_2.jpg,7
dataset/Pond/pond_23.jpg,7
dataset/Pond/pond_37.jpg,7
dataset/Pond/pond_295.jpg,7
dataset/Pond/pond_281.jpg,7
dataset/Pond/pond_256.jpg,7
dataset/Pond/pond_242.jpg,7
dataset/Pond/pond_322.jpg,7
dataset/Pond/pond_336.jpg,7
dataset/Pond/pond_108.jpg,7
dataset/Pond/pond_120.jpg,7
dataset/Pond/pond_134.jpg,7
dataset/Pond/pond_122.jpg,7
dataset/Pond/pond_136.jpg,7
dataset/Pond/pond_320.jpg,7
dataset/Pond/pond_334.jpg,7
dataset/Pond/pond_308.jpg,7
dataset/Pond/pond_254.jpg,7
dataset/Pond/pond_240.jpg,7
dataset/Pond/pond_268.jpg,7
dataset/Pond/pond_297.jpg,7
dataset/Pond/pond_283.jpg,7
dataset/Pond/pond_21.jpg,7
dataset/Pond/pond_35.jpg,7
dataset/Pond/pond_1.jpg,7
dataset/Pond/pond_34.jpg,7
dataset/Pond/pond_20.jpg,7
